species,site,herbivory_type,habitat,individual,herbivory_percentage_median,herbivory_percentage_mean,herbratio
SCU_MYR,F7,sap_min_perc,Forest,1,0,0.0012104744883730024,1.1210474488373002e-4
SCU_MYR,F7,sap_min_perc,Forest,2,0,0,1e-4
SCU_MYR,F7,sap_min_perc,Forest,3,0,0.12287756926470622,0.0013287756926470622
SCU_MYR,F7,chew_perc,Forest,1,0.957995578,8.598573594441861,0.08608573594441861
SCU_MYR,F7,chew_perc,Forest,2,0.2025803035,9.311887588916667,0.09321887588916668
SCU_MYR,F7,chew_perc,Forest,3,0.0313710875,9.325621037941177,0.09335621037941177
SCU_MYR,S20,sap_min_perc,Savanna,1,2.7937080095,9.318610645583334,0.09328610645583334
SCU_MYR,S20,sap_min_perc,Savanna,2,0.517538815,2.8737044613870975,0.028837044613870974
SCU_MYR,S20,sap_min_perc,Savanna,3,0.405236908,3.972182591757576,0.039821825917575764
SCU_MYR,S20,chew_perc,Savanna,1,0.961620186,6.919264358972222,0.06929264358972222
SCU_MYR,S20,chew_perc,Savanna,2,3.014570424,7.40539876132258,0.07415398761322581
SCU_MYR,S20,chew_perc,Savanna,3,0,0.7935233086666666,0.008035233086666666
SCU_MYR,S22,sap_min_perc,Savanna,1,1.132686084,2.254704552804878,0.02264704552804878
SCU_MYR,S22,sap_min_perc,Savanna,2,1.028958816,6.377129476150002,0.06387129476150002
SCU_MYR,S22,chew_perc,Savanna,1,12.55033557,15.991595793146342,0.1600159579314634
SCU_MYR,S22,chew_perc,Savanna,2,2.652322319,7.087165482475,0.07097165482475
SCU_MYR,S27,sap_min_perc,Savanna,1,0.816056462,1.5617611823703703,0.015717611823703702
SCU_MYR,S27,sap_min_perc,Savanna,2,0.380096752,3.7620105641463413,0.037720105641463414
SCU_MYR,S27,sap_min_perc,Savanna,3,0.585302406,2.3339844209565217,0.023439844209565217
